Titre,Date
Star Realms Deluxe Nova Collection,Novembre 2020
Arco,Juin 2021
Time at sandrock,Novembre 2021
Voyages,Décembre 2021
MOON DEER,Décembre 2021
Reventure: Orbtale,Décembre 2021
EAST TEXAS UNIVERSITY,Hiver 2022
Not Enough Mana,Janvier 2022
Dungeon Alchemist,Janvier 2022
The Moon's Daughter,Fevrier 2022
Runes of Zun: Year One Collection,Février 2022
Dangerous Destinations,Février 2022
The Seeker's Guide to Twisted Taverns,Février 2022
Heroes Of Barcadia,Mars 2022
Mage Noir,Mai 2022
7th Citadel,Mai 2022
Spirit of Eden,Mai 2022
Clash of Decks: Season 2,Mai 2022
Binding Of Isaac Requiem,Juin 2022
Lost Empires,Juillet 2022
Eiyuden Chronicle: Hundred Heroes,Octobre 2022
